item,n,friedman_stat,friedman_p,comparison,wilcoxon_stat,wilcoxon_p,holm_p
ease_of_manipulation,17,7.8000,0.0202,visual_only_vs_lra,4.0000,0.0128,0.0384
ease_of_manipulation,17,7.8000,0.0202,visual_only_vs_tactiles,7.0000,0.0313,0.0626
ease_of_manipulation,17,7.8000,0.0202,lra_vs_tactiles,13.5000,0.4795,0.4795
contact_detection,17,13.6981,0.0011,visual_only_vs_lra,3.0000,0.0025,0.0076
contact_detection,17,13.6981,0.0011,visual_only_vs_tactiles,0.0000,0.0030,0.0076
contact_detection,17,13.6981,0.0011,lra_vs_tactiles,52.5000,1.0000,1.0000
grasp_confidence,17,15.8261,0.0004,visual_only_vs_lra,5.0000,0.0021,0.0062
grasp_confidence,17,15.8261,0.0004,visual_only_vs_tactiles,0.0000,0.0044,0.0088
grasp_confidence,17,15.8261,0.0004,lra_vs_tactiles,16.0000,0.7630,0.7630
force_perception,17,23.4444,0.0000,visual_only_vs_lra,3.5000,0.0007,0.0016
force_perception,17,23.4444,0.0000,visual_only_vs_tactiles,0.0000,0.0005,0.0016
force_perception,17,23.4444,0.0000,lra_vs_tactiles,12.0000,0.7055,0.7055
mental_effort_low,17,4.6667,0.0970,visual_only_vs_lra,2.5000,0.0473,0.1420
mental_effort_low,17,4.6667,0.0970,visual_only_vs_tactiles,4.0000,0.0474,0.1420
mental_effort_low,17,4.6667,0.0970,lra_vs_tactiles,2.5000,0.3173,0.3173
physical_effort_low,17,9.5789,0.0083,visual_only_vs_lra,0.0000,0.1025,0.1025
physical_effort_low,17,9.5789,0.0083,visual_only_vs_tactiles,0.0000,0.0231,0.0694
physical_effort_low,17,9.5789,0.0083,lra_vs_tactiles,0.0000,0.0455,0.0910
